Page IsModify
959 0
101 0
783 1
851 0
674 0
318 0
775 0
169 1
805 0
486 0
406 1
768 1
575 0
466 0
764 1
668 1
348 0
624 1
239 1
898 1
174 0
683 1
886 0
755 1
157 0
48 1
775 1
300 1
440 1
718 1
642 0
785 1
754 1
552 1
183 0
510 1
889 1
36 1
151 1
734 1
198 1
937 1
913 1
482 1
687 1
213 1
255 1
780 1
915 0
485 1
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
469 1
949 0
382 0
931 1
241 1
620 0
499 0
94 1
226 1
150 0
596 1
46 1
309 1
444 0
325 0
458 0
516 1
364 1
832 0
94 1
521 1
184 1
519 0
410 1
844 1
668 1
930 1
543 1
224 1
103 0
818 1
209 0
83 1
82 0
344 1
149 0
466 0
157 1
435 1
927 1
462 1
373 0
802 1
121 1
854 0
400 1
290 1
388 1
806 0
353 0
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
60 1
365 1
826 1
612 1
401 1
45 1
384 1
947 1
776 0
596 0
158 0
109 0
730 0
218 0
56 1
579 0
486 0
317 1
197 1
821 0
939 1
853 0
1013 1
95 0
666 1
762 0
900 1
706 1
86 0
719 1
712 0
83 0
794 1
401 1
367 0
745 0
169 0
124 0
906 1
89 0
551 1
404 0
431 1
363 0
140 1
188 0
459 1
340 0
683 1
72 1
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
448 1
373 1
478 1
710 0
974 1
113 1
186 1
235 1
699 0
248 0
706 0
986 1
557 0
471 1
197 0
145 1
878 0
518 1
1005 1
596 1
952 1
121 1
861 0
121 1
612 1
261 1
187 1
775 0
325 1
331 1
489 0
888 1
250 0
551 1
763 1
985 0
233 1
706 1
222 0
902 1
551 1
938 1
886 1
560 0
912 0
901 0
58 1
489 1
291 1
430 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
144 1
87 0
320 1
78 1
185 1
212 0
744 1
721 1
187 0
514 0
997 0
74 1
757 0
372 1
149 0
506 1
831 1
69 1
166 0
252 1
677 0
258 0
641 1
365 1
889 0
375 1
109 1
447 0
340 1
350 0
582 0
152 1
635 0
185 1
156 1
175 1
383 0
143 0
323 1
348 0
401 1
766 0
787 0
734 0
716 0
934 0
988 1
576 1
621 1
165 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
407 1
856 1
864 1
742 0
721 1
268 1
1017 1
990 1
963 1
249 1
469 1
331 1
744 1
490 1
357 1
819 1
547 0
985 0
96 0
695 1
813 0
674 0
427 1
264 1
369 1
288 0
986 0
148 0
240 0
194 0
959 1
413 0
218 0
968 1
131 0
899 1
469 0
238 1
108 1
714 0
318 1
437 1
588 1
392 1
362 0
744 1
147 1
538 1
89 1
1005 1
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
662 1
744 1
623 0
355 1
190 0
408 0
555 1
586 0
914 1
252 0
361 1
357 0
92 1
177 0
206 0
372 0
95 0
651 0
398 1
987 0
472 1
30 0
764 0
719 1
614 0
217 1
415 1
607 1
729 0
726 1
273 0
904 1
273 0
991 1
1000 0
235 1
193 0
932 0
209 1
101 0
646 1
151 0
690 1
434 1
159 1
948 1
661 1
121 1
316 0
235 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
77 0
54 0
800 1
958 1
167 0
728 1
566 1
531 1
257 1
432 0
757 1
378 0
569 1
948 1
159 0
554 1
99 1
436 0
582 0
141 1
649 1
739 0
881 1
169 0
555 1
178 1
35 0
605 1
387 1
167 1
110 1
941 1
875 0
808 1
307 1
805 0
1009 1
532 1
176 0
952 1
157 1
362 0
988 1
599 1
527 1
952 0
724 0
935 1
678 0
954 1
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
345 1
773 1
646 0
631 1
316 1
558 1
106 1
602 1
908 1
480 0
836 1
766 1
960 1
604 0
540 0
344 0
844 1
1008 1
811 1
434 0
666 1
853 1
725 0
926 1
567 0
716 0
225 0
223 0
570 1
915 1
886 1
678 1
221 0
158 1
518 0
922 1
761 1
837 1
746 0
158 1
892 1
702 0
967 0
171 1
423 1
584 1
869 1
188 0
290 1
958 1
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
1009 1
496 0
170 1
736 0
642 1
662 1
932 1
871 0
589 1
619 1
1002 1
786 0
324 1
443 0
438 0
426 1
595 0
956 1
264 0
569 1
366 0
142 1
124 1
902 0
803 1
743 0
713 1
515 1
265 0
854 0
773 1
559 1
626 1
37 1
56 0
709 1
334 1
422 0
354 1
416 1
593 1
806 0
167 0
123 1
401 1
110 0
588 1
850 1
196 0
257 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
394 1
726 1
631 1
876 1
347 0
865 1
860 0
902 1
409 1
63 1
996 1
881 1
170 0
906 0
336 0
428 0
536 1
934 0
942 1
387 1
43 1
107 1
577 0
736 1
571 0
316 0
676 0
272 1
1021 0
855 0
778 1
617 1
112 1
643 0
171 1
588 1
143 1
593 1
939 0
995 1
850 1
958 0
405 1
906 1
514 1
963 0
809 1
967 1
349 0
1000 1
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
367 0
107 0
732 1
664 0
128 1
914 0
326 1
456 0
315 0
273 0
542 1
165 1
462 0
551 1
30 1
98 1
321 0
577 1
64 0
896 0
511 1
77 0
344 0
212 1
504 0
478 0
867 0
623 0
538 1
824 0
673 0
970 1
599 0
151 0
127 1
396 0
808 0
452 1
890 0
863 1
481 1
581 1
900 1
951 1
1013 1
277 1
625 1
430 1
836 1
715 1
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
438 1
495 1
38 1
581 1
294 1
882 1
273 1
1001 0
200 1
876 0
74 0
357 1
825 1
281 0
34 1
305 1
769 1
883 1
683 1
877 0
680 1
559 0
299 0
448 1
974 1
390 0
535 1
426 1
453 1
169 0
572 1
538 0
293 0
242 1
110 0
171 1
769 0
167 0
307 1
329 1
93 0
373 1
677 0
83 1
792 0
880 1
575 0
1006 1
196 1
74 0
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
807 1
597 1
535 1
602 1
737 0
394 1
460 0
659 0
710 1
72 0
480 1
1017 0
810 1
472 0
307 1
120 1
635 0
975 1
855 1
831 1
333 1
905 0
224 1
322 0
993 0
256 1
644 1
930 1
353 1
511 1
759 1
568 1
702 0
158 0
701 1
144 0
854 1
256 1
159 1
800 0
209 1
137 1
608 1
275 1
823 1
705 0
576 1
802 0
551 0
788 1
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
948 0
476 0
586 1
644 1
208 1
856 1
285 0
203 1
81 1
1020 0
149 1
880 0
805 1
439 1
428 0
951 1
583 1
493 1
351 1
1006 1
481 1
339 1
970 1
1016 1
851 1
408 1
347 0
876 1
788 1
476 1
192 0
799 0
333 1
299 1
408 0
469 1
784 0
640 1
1014 1
633 0
37 0
721 0
550 0
36 1
519 1
214 0
375 1
443 0
822 1
400 1
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
651 0
251 1
269 0
120 0
195 0
372 1
239 0
654 1
264 1
862 1
893 1
159 1
229 1
624 0
35 1
976 0
383 1
596 1
367 0
229 1
299 1
709 0
574 1
862 1
933 1
908 0
372 1
967 1
1005 1
545 0
520 1
473 1
622 1
796 1
752 0
443 0
105 0
568 1
980 0
885 0
871 0
197 0
258 1
725 1
822 0
951 1
432 1
296 0
284 1
852 0
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
138 0
698 0
459 0
585 0
59 1
121 1
970 0
583 1
553 1
799 0
698 0
270 1
122 1
820 1
675 1
778 1
251 0
571 0
298 0
696 1
419 0
547 1
79 1
650 1
755 1
377 0
949 0
574 1
1019 0
258 1
762 1
544 0
237 1
143 1
393 0
85 0
76 0
949 1
425 0
419 1
787 0
605 1
384 1
142 0
111 0
452 1
224 1
943 1
948 1
191 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
485 1
834 1
55 1
481 1
446 1
281 1
709 1
957 0
864 1
174 1
362 0
618 1
171 1
216 0
98 0
919 1
571 1
303 0
762 1
997 1
745 0
487 1
910 1
513 1
874 0
646 1
346 1
109 1
818 1
937 0
338 1
637 1
580 1
166 0
509 1
986 1
144 0
819 0
977 1
664 0
473 1
445 0
386 1
960 0
152 0
922 1
513 0
144 0
541 1
402 1
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
416 0
629 1
263 1
784 1
209 0
387 0
310 0
751 1
977 1
315 1
770 1
571 0
533 0
318 0
393 1
90 0
548 0
887 1
366 0
590 0
169 1
685 0
736 0
256 0
434 1
503 1
325 1
752 1
982 1
632 1
173 0
615 1
876 1
921 0
152 1
650 1
915 1
341 1
49 1
169 1
371 1
302 1
541 1
358 1
513 0
429 1
521 1
472 0
435 1
153 1
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
527 0
572 0
185 0
192 0
537 1
675 1
811 1
152 1
537 0
190 0
101 1
581 1
249 0
663 0
1018 0
208 1
399 1
850 0
82 1
298 1
548 1
748 1
192 0
948 1
533 0
761 0
349 0
360 0
522 1
152 0
116 1
961 1
789 1
840 1
515 0
616 1
896 1
295 0
650 1
338 1
930 1
434 1
466 1
835 1
580 1
783 0
934 0
849 1
373 1
563 1
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
797 0
848 1
977 1
57 0
126 0
112 0
610 0
881 1
583 0
745 0
156 1
969 1
614 1
934 0
620 1
389 0
401 1
604 1
260 0
269 1
346 0
759 1
38 1
322 0
618 1
119 1
534 1
856 1
382 1
953 1
800 0
997 0
1008 0
699 0
539 1
388 0
245 0
725 1
94 1
807 0
867 1
740 1
267 1
330 0
694 0
338 0
686 1
307 1
772 0
493 1
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
399 1
217 1
121 1
882 1
539 1
863 0
610 1
418 0
714 0
148 1
412 1
828 1
352 0
131 1
938 1
668 0
422 1
954 1
659 0
685 1
70 0
1007 0
533 1
229 0
261 1
228 1
377 1
537 1
982 1
214 0
743 0
533 1
804 1
779 0
234 1
406 0
599 0
274 1
821 0
506 1
792 0
418 1
786 1
367 1
721 0
919 1
491 1
233 0
662 0
381 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
51 1
416 0
109 1
650 1
672 0
683 0
531 1
894 0
337 0
391 0
615 0
528 1
559 1
323 1
979 0
640 1
304 1
964 0
686 1
182 0
178 1
622 0
705 0
244 0
925 1
735 1
663 1
1008 1
777 1
126 1
978 1
434 1
950 1
661 1
424 1
480 0
591 0
566 0
49 1
972 0
665 1
945 1
359 1
693 1
896 1
286 1
956 0
823 0
79 1
942 1
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
965 1
85 1
235 0
43 1
579 0
286 0
873 1
226 1
621 1
263 1
732 1
906 1
373 0
903 0
118 0
82 0
670 1
454 1
845 0
750 1
140 1
788 1
866 1
238 0
754 1
777 1
366 1
342 1
474 0
1020 0
852 1
165 0
499 1
301 1
757 1
192 0
179 1
726 1
1020 0
323 1
165 1
707 1
406 1
1020 1
155 1
1011 1
442 0
464 0
976 0
115 1
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
977 1
376 0
116 1
549 1
976 1
316 1
75 0
408 1
589 1
344 0
351 1
646 1
502 1
39 1
155 1
87 0
974 0
690 1
918 1
559 0
971 1
855 1
111 0
816 1
547 0
379 1
836 1
764 1
678 1
134 1
293 1
882 1
489 0
705 1
1020 1
793 1
124 1
374 0
327 0
674 0
42 1
246 0
1011 0
728 0
698 0
458 0
279 0
626 0
33 1
979 1
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
254 1
328 1
190 1
120 0
230 1
215 0
722 0
781 1
318 1
380 0
372 1
771 0
941 1
405 0
579 1
518 1
655 0
491 1
324 1
325 1
223 1
906 0
916 0
78 1
83 1
828 1
397 0
173 1
980 0
835 1
957 1
809 0
708 1
83 1
431 0
917 0
937 1
374 1
653 1
282 1
456 1
150 1
189 0
711 0
878 1
169 1
985 0
146 1
959 1
981 1
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
980 0
467 1
386 1
514 1
1005 1
265 1
991 1
621 0
689 1
642 0
929 0
937 1
266 1
407 0
797 1
94 1
225 0
412 1
75 0
598 1
498 1
621 1
165 1
821 1
675 0
551 0
788 1
473 0
722 1
822 0
229 1
767 1
296 0
41 1
409 1
967 1
149 1
109 1
697 1
356 1
362 0
375 1
57 1
395 1
739 0
993 1
336 1
548 1
489 0
113 1
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
937 0
815 0
600 0
984 0
387 1
845 1
862 1
927 1
986 0
407 1
590 1
437 0
219 0
674 1
524 1
269 0
809 1
417 0
378 0
35 1
215 1
394 1
567 1
400 1
516 1
912 0
715 0
542 1
878 1
678 1
683 1
166 0
726 1
389 1
285 1
788 1
97 1
547 0
509 0
717 0
121 0
249 1
310 0
248 1
892 0
856 1
458 1
969 1
91 1
283 1
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
589 0
499 0
572 1
280 1
428 0
917 0
121 0
475 1
172 0
390 1
492 1
380 1
676 1
771 1
276 1
277 1
777 0
209 1
342 1
469 1
317 1
590 1
820 1
991 0
218 0
398 1
475 1
190 1
352 0
711 1
842 1
658 1
902 1
747 1
685 1
714 1
30 1
699 0
550 1
1011 1
176 0
721 0
880 1
436 0
538 1
330 1
760 1
883 0
406 0
548 0
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
528 1
979 0
712 1
608 1
360 1
77 0
156 0
447 1
771 0
150 0
400 1
488 0
377 0
606 1
644 0
104 1
813 1
70 0
917 1
202 1
645 1
714 0
685 1
970 1
221 0
815 1
1020 1
582 1
934 0
595 0
931 0
744 0
511 0
1008 0
473 0
114 0
347 1
740 1
456 0
285 1
627 1
635 1
890 1
962 0
233 1
682 0
735 0
1016 1
122 0
274 1
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
795 1
992 0
948 1
197 1
337 1
274 0
765 1
73 1
860 1
676 1
730 0
721 1
667 1
313 0
78 1
386 1
329 0
803 1
439 0
406 1
314 0
691 0
944 1
768 1
836 0
663 0
560 0
916 1
758 0
740 1
379 0
116 1
949 0
74 0
59 1
367 0
940 1
199 1
307 1
912 1
675 1
640 0
831 0
593 0
345 0
474 0
129 1
511 1
265 1
827 1
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
753 0
414 1
250 1
127 0
517 0
651 0
316 0
497 1
483 1
748 0
805 0
441 1
99 0
484 0
411 0
968 1
491 0
959 1
385 1
840 0
766 0
983 1
951 1
133 1
1000 1
262 1
769 1
863 0
40 1
171 0
193 1
114 1
232 1
134 0
278 0
856 0
652 1
640 0
467 1
367 1
613 1
380 0
199 1
300 0
201 1
697 1
472 1
725 1
243 1
755 1
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
177 1
295 1
665 1
849 1
732 0
356 0
174 1
526 0
256 0
678 1
580 0
853 0
146 1
363 0
316 1
333 1
378 0
530 1
199 1
620 1
968 1
689 0
868 1
1023 1
680 1
90 1
835 0
87 1
803 1
681 0
477 1
938 1
84 0
53 0
422 1
487 1
243 0
472 1
640 0
206 1
675 1
583 1
56 0
716 0
44 0
828 1
295 1
522 0
548 1
96 1
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
613 1
236 1
47 1
234 0
337 0
436 1
683 0
777 0
174 0
526 0
991 1
669 1
434 0
823 0
783 1
136 1
897 1
66 0
746 0
436 1
74 1
358 1
462 1
248 0
394 0
946 0
742 1
778 0
534 0
533 1
223 0
654 1
30 1
627 0
201 1
959 0
678 0
249 1
562 0
213 0
366 1
198 0
1003 0
499 1
781 1
772 0
47 1
265 0
133 1
435 1
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
643 0
561 0
991 1
471 1
838 1
980 0
62 1
517 1
949 1
277 1
585 0
981 1
153 0
291 0
798 1
771 0
351 0
152 1
878 0
703 1
968 1
682 1
879 1
299 0
43 1
896 0
816 0
858 1
102 1
407 0
960 1
841 0
393 1
995 1
151 0
597 0
366 1
754 1
493 0
223 0
982 1
980 0
789 1
936 1
966 1
381 0
661 1
340 0
220 0
887 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
290 0
706 0
210 1
310 1
960 1
544 0
215 1
701 1
719 0
771 0
418 1
415 0
303 1
857 0
190 1
229 1
199 1
986 1
733 1
701 0
791 1
586 1
818 1
610 1
578 0
764 1
742 1
613 0
510 1
913 1
685 1
852 1
925 0
774 1
618 1
245 0
464 1
696 1
748 1
714 0
868 0
849 1
649 0
681 1
507 0
760 1
356 0
110 0
339 0
908 1
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
337 1
247 0
889 0
125 1
747 0
364 1
152 1
628 0
193 1
643 1
155 0
634 0
725 0
400 1
73 0
842 1
426 0
394 1
95 1
104 1
610 0
911 0
1014 1
896 0
331 1
47 0
683 1
207 1
1000 0
743 0
185 0
523 0
273 1
58 1
470 0
143 1
176 0
524 1
482 0
608 0
920 1
415 1
423 0
949 0
426 1
606 0
583 0
599 1
129 1
915 1
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
729 0
174 1
455 0
30 0
954 1
713 1
191 1
92 0
497 0
641 0
374 1
517 1
296 1
467 1
489 1
808 1
120 1
853 1
47 0
313 0
510 1
397 1
702 1
717 1
43 0
232 1
763 1
559 0
641 1
213 0
425 1
752 1
916 1
394 1
47 1
778 1
234 0
41 0
882 1
780 0
649 0
106 1
862 1
299 1
967 1
545 1
278 1
631 1
500 1
378 1
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
269 0
134 0
91 0
294 1
629 1
930 1
616 1
626 1
493 0
633 0
883 0
91 1
980 1
531 0
365 1
503 1
467 1
474 0
396 0
868 1
118 0
514 0
774 0
127 1
327 1
1011 0
949 0
212 0
459 1
432 0
60 0
785 1
947 1
555 0
310 0
974 1
726 1
907 1
679 1
442 0
59 1
188 1
651 0
994 1
844 1
529 1
802 1
745 0
477 0
1022 1
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
95 1
858 0
917 0
786 0
237 0
463 0
535 1
975 0
249 1
96 1
973 1
183 1
968 1
378 0
596 1
281 0
359 1
582 0
226 1
68 1
957 1
232 1
645 0
174 1
633 0
790 1
118 0
202 0
102 1
476 1
503 0
533 1
427 1
805 0
516 0
946 1
186 1
295 1
419 0
292 0
901 1
229 0
767 1
1009 0
519 1
130 0
74 1
415 0
452 0
543 1
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
105 0
76 1
1002 1
45 0
111 1
286 1
763 1
120 1
338 1
509 0
115 1
808 0
494 1
780 1
881 1
765 1
809 1
1016 0
507 1
684 0
774 0
49 1
163 1
964 1
56 0
1008 1
526 0
203 1
312 0
427 1
237 1
41 1
157 1
651 0
842 1
382 0
982 1
176 1
177 0
139 1
197 1
234 0
860 0
370 1
390 1
348 1
754 1
697 0
798 0
441 1
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
356 1
392 0
655 1
53 1
192 1
856 0
749 1
272 1
71 1
63 1
323 0
407 0
398 1
368 1
310 1
911 1
670 1
618 1
881 0
178 0
1003 1
873 0
784 0
893 0
734 1
978 0
960 0
893 0
741 1
981 0
908 0
520 0
809 1
687 1
681 0
435 0
144 1
652 0
662 1
1000 1
205 1
347 0
175 1
652 0
404 1
620 0
646 1
32 1
340 0
842 1
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
891 1
928 1
888 0
521 1
750 1
671 1
927 0
730 1
927 1
453 1
939 1
333 0
104 1
906 0
665 0
714 1
213 0
784 0
132 1
261 1
959 0
893 0
365 1
642 1
190 0
599 1
496 1
643 1
876 0
172 1
661 1
79 1
118 1
380 1
839 0
70 1
830 0
443 0
946 0
105 1
1019 0
199 0
171 1
857 1
390 0
268 0
268 0
740 1
556 1
404 1
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
95 1
843 0
991 1
643 0
862 0
624 0
687 1
577 1
124 1
195 0
130 1
452 1
724 1
871 1
524 1
769 1
411 0
711 1
523 1
683 0
918 0
444 1
193 0
904 0
932 0
954 1
106 1
693 0
349 0
247 1
208 0
90 1
97 1
87 1
538 1
925 1
487 0
620 1
497 1
703 1
908 1
934 1
787 0
1000 0
936 1
992 1
573 0
504 1
353 1
743 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
417 1
638 1
426 0
313 1
312 1
167 1
512 0
524 1
540 1
424 1
420 1
787 1
682 1
49 1
196 0
794 0
39 1
820 0
521 0
105 1
343 0
439 0
691 0
638 0
807 0
853 1
627 1
958 0
449 0
532 1
639 0
989 1
755 1
682 0
89 1
298 1
470 0
783 0
554 1
981 1
427 0
437 0
704 1
904 0
66 1
336 1
948 0
687 1
496 1
375 1
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
77 1
952 1
630 1
660 1
613 1
535 1
696 1
58 0
71 1
121 1
69 1
70 1
825 1
428 0
238 1
551 0
792 0
851 1
126 1
62 1
262 0
444 0
231 1
426 1
430 1
405 1
971 1
368 0
854 1
133 1
46 0
976 1
702 1
1020 1
852 1
330 1
338 1
1022 1
775 0
588 0
506 1
720 0
904 1
746 1
934 0
115 1
556 1
983 0
658 0
264 1
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
74 0
995 1
34 0
95 1
527 1
124 0
520 1
78 1
384 0
456 1
843 1
470 1
674 1
67 0
594 1
834 0
805 0
413 1
119 1
434 0
766 1
836 1
169 0
324 0
574 1
725 0
1015 1
225 0
742 1
479 1
613 1
356 1
435 0
203 1
728 1
641 0
841 1
503 0
850 1
868 0
634 1
421 0
763 0
860 1
297 0
372 1
540 0
672 1
64 1
78 1
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
417 0
195 1
987 0
732 0
357 1
330 0
755 0
954 1
725 0
818 1
645 0
989 1
139 1
743 1
664 1
157 0
648 1
47 0
356 0
590 1
56 0
980 0
506 0
982 0
848 0
519 1
128 1
125 1
187 1
729 1
677 0
845 1
108 1
836 1
830 1
801 0
842 0
705 0
730 0
398 1
256 1
1006 1
876 1
828 1
377 0
252 1
357 1
865 0
840 0
408 1
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
614 0
999 1
772 0
971 0
40 1
586 0
488 1
752 1
869 0
760 1
738 0
544 0
369 1
69 1
449 1
307 1
736 1
822 1
742 0
995 0
825 1
732 0
654 0
255 1
725 1
74 1
290 1
156 1
489 0
43 0
751 1
165 1
445 1
940 1
798 0
947 1
320 1
935 1
226 1
930 1
988 0
48 0
720 1
105 1
77 1
166 0
370 1
839 1
174 1
72 0
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
149 1
513 1
54 0
889 0
695 1
56 0
121 1
107 0
147 1
395 1
599 0
840 1
68 0
336 0
40 0
70 0
216 1
597 0
172 1
265 1
696 1
119 0
665 1
708 1
1019 0
743 1
925 0
502 1
645 1
74 1
842 1
848 1
562 0
537 1
100 1
164 1
878 1
472 0
429 1
773 0
1007 1
941 1
818 0
633 1
259 1
318 1
290 1
611 1
308 1
400 1
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
228 0
118 1
673 1
348 1
634 1
853 1
710 1
786 0
1016 1
161 0
795 1
70 1
323 1
256 1
50 1
292 1
31 0
706 1
825 0
68 1
576 0
942 0
222 1
418 0
468 0
1007 0
880 1
105 1
380 1
532 1
974 0
720 1
334 1
823 1
779 0
33 0
713 1
827 0
611 0
816 0
818 1
571 1
764 1
559 0
916 0
824 0
598 0
777 1
851 1
756 1
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
717 1
772 1
798 1
33 1
213 1
509 0
289 1
81 1
589 0
825 1
548 0
622 1
342 0
636 1
72 0
80 0
328 1
839 1
936 1
397 1
939 1
866 0
611 1
934 1
674 0
129 1
1009 0
226 1
537 1
715 0
992 1
610 1
576 0
634 0
701 1
625 0
598 0
140 1
801 1
462 1
271 1
543 0
304 0
253 1
249 0
741 0
964 1
966 1
645 1
283 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
978 0
280 1
623 1
474 0
831 0
1007 1
598 1
574 1
930 0
159 1
598 1
213 1
790 1
147 1
178 1
902 0
532 1
542 0
788 1
970 1
615 0
715 1
706 1
193 1
465 1
932 1
227 1
211 1
588 1
125 0
887 1
183 1
98 1
788 0
760 1
404 1
102 0
1016 1
290 1
485 1
776 1
521 0
274 1
896 1
155 1
518 0
301 1
924 0
911 1
954 1
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
207 1
360 1
563 1
623 1
124 1
942 0
404 1
831 1
672 1
271 0
256 1
707 0
791 1
701 1
491 1
931 1
1010 0
854 1
633 0
998 0
285 1
545 0
695 0
628 1
298 1
213 1
779 1
488 1
863 1
807 0
296 1
292 1
907 1
139 1
294 0
617 1
202 1
757 1
88 1
486 1
565 0
61 0
332 1
395 0
302 0
827 0
822 0
772 0
707 0
90 1
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
904 1
876 1
529 1
767 1
1010 1
568 1
864 0
43 0
877 0
193 1
183 1
551 1
184 1
539 1
915 0
401 0
360 1
594 1
536 1
902 1
704 1
274 1
850 1
847 1
103 1
774 0
118 0
865 1
872 1
535 0
96 1
904 0
198 1
755 1
180 1
88 0
187 0
419 1
763 0
215 1
808 0
70 1
784 0
934 1
398 1
37 1
248 1
42 0
113 0
1013 1
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
863 0
641 1
821 0
371 1
643 1
565 1
862 1
329 0
200 1
